name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
ahn_05.nii.gz,0.4285714328289032,5.199172019958496,0.8578697443008423,0.27272728085517883,0.772455096244812,0.29655173420906067,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.14285714427630106,1.7330573399861653,0.2859565814336141,0.09090909361839294,,
ahn_09.nii.gz,0.5456013083457947,4.123105525970459,0.060871515423059464,0.3751387298107147,0.9740633964538574,0.37892377376556396,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18186710278193155,1.3743685086568196,0.02029050514101982,0.12504624327023825,,
ahn_11.nii.gz,0.41290321946144104,32.38513946533203,15.821660041809082,0.2601625919342041,0.4383561611175537,0.39024388790130615,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.137634406487147,10.79504648844401,5.273886680603027,0.08672086397806804,,
ahn_12.nii.gz,0.5238263607025146,2.2360680103302,0.16059547662734985,0.35485413670539856,0.9661458134651184,0.35932204127311707,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17460878690083823,0.7453560034434,0.05353182554244995,0.11828471223513286,,
ahn_16.nii.gz,0.40900564193725586,49.22332000732422,15.808099746704102,0.2570754587650299,0.3364197611808777,0.5215311050415039,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1363352139790853,16.40777333577474,5.2693665822347,0.08569181958834331,,
ahn_21.nii.gz,0.5872576236724854,2.2360680103302,0.7044285535812378,0.4156862795352936,0.9422222375869751,0.42655935883522034,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.19575254122416177,0.7453560034434,0.2348095178604126,0.13856209317843118,,
ahn_29.nii.gz,0.5783749222755432,2.4494898319244385,0.35183393955230713,0.4068406820297241,0.909456729888916,0.42401501536369324,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1927916407585144,0.8164966106414795,0.11727797985076904,0.1356135606765747,,
ahn_39.nii.gz,0.3270440399646759,84.04203796386719,30.187271118164062,0.19548872113227844,0.2207130789756775,0.6310679316520691,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1090146799882253,28.014012654622395,10.062423706054688,0.06516290704409282,,
ahn_48.nii.gz,0.483368456363678,4.123105525970459,0.5223838090896606,0.31871187686920166,0.9671900868415833,0.3221953213214874,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.16112281878789267,1.3743685086568196,0.17412793636322021,0.10623729228973389,,
ahn_54.nii.gz,0.47263815999031067,3.1622776985168457,0.3065832257270813,0.30944740772247314,0.8884339928627014,0.32195845246315,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.15754605333010355,1.054092566172282,0.10219440857569377,0.10314913590749104,,
ahn_64.nii.gz,0.4957650899887085,4.123105525970459,0.1573275923728943,0.32957959175109863,0.9440860152244568,0.336140900850296,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.16525502999623617,1.3743685086568196,0.05244253079096476,0.10985986391703288,,
ahn_75.nii.gz,0.6013592481613159,2.2360680103302,0.6516270041465759,0.429959774017334,0.9378654956817627,0.4425663948059082,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.20045308272043863,0.7453560034434,0.21720900138219199,0.14331992467244467,,
ahn_77.nii.gz,0.37468355894088745,47.03134536743164,26.757402420043945,0.23052959144115448,0.30204081535339355,0.4933333396911621,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.12489451964696248,15.677115122477213,8.919134140014648,0.0768431971470515,,
ahn_79.nii.gz,0.060150377452373505,16.428630828857422,12.66894817352295,0.03100775182247162,0.040816325694322586,0.11428571492433548,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.020050125817457836,5.476210276285808,4.222982724507649,0.010335917274157206,,
CAD_102.nii.gz,0.49265536665916443,8.831223487854004,1.6407197713851929,0.32683658599853516,0.7785714268684387,0.36033058166503906,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1642184555530548,2.9437411626180015,0.546906590461731,0.10894552866617839,,
CAD_107.nii.gz,0.46507805585861206,16.708940505981445,2.8628973960876465,0.3029978573322296,0.7293814420700073,0.3413751423358917,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.15502601861953735,5.569646835327148,0.9542991320292155,0.10099928577740987,,
CAD_110.nii.gz,0.4286230504512787,7.777973651885986,1.3671377897262573,0.27276909351348877,0.8785185217857361,0.283460795879364,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.14287435015042624,2.5926578839619956,0.4557125965754191,0.09092303117116292,,
CAD_113.nii.gz,0.48621323704719543,8.774964332580566,0.7985213398933411,0.3211900293827057,0.997172474861145,0.3214828372001648,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1620710790157318,2.924988110860189,0.266173779964447,0.10706334312756856,,
CAD_118.nii.gz,0.43113523721694946,4.123105525970459,0.7839593291282654,0.2748071253299713,0.9468377828598022,0.2791137397289276,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.14371174573898315,1.3743685086568196,0.26131977637608844,0.09160237510999043,,
CAD_119.nii.gz,0.4779559075832367,25.357444763183594,3.912630796432495,0.31402239203453064,0.6428571343421936,0.380382776260376,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1593186358610789,8.452481587727865,1.3042102654774983,0.10467413067817688,,
CAD_120.nii.gz,0.4395604431629181,47.86015701293945,26.91952896118164,0.28169015049934387,0.35587188601493835,0.5747126340866089,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1465201477209727,15.953385670979818,8.97317632039388,0.09389671683311462,,
CAD_124.nii.gz,0.08524589985609055,11.575837135314941,6.599876880645752,0.0445205494761467,0.07262569665908813,0.1031746044754982,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.028415299952030182,3.858612378438314,2.1999589602152505,0.014840183158715567,,
CAD_127.nii.gz,0.5408348441123962,33.77491760253906,12.410575866699219,0.37064677476882935,0.5936254858970642,0.49666666984558105,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18027828137079874,11.258305867513021,4.136858622233073,0.12354892492294312,,
CAD_128.nii.gz,0.5272949934005737,3.316624879837036,0.7397050857543945,0.35804522037506104,0.8777506351470947,0.37683695554733276,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17576499780019125,1.1055416266123455,0.2465683619181315,0.11934840679168701,,
CAD_135.nii.gz,0.6606248617172241,2.0,0.4653910994529724,0.4932336211204529,0.9441035985946655,0.5080704092979431,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2202082872390747,0.6666666666666666,0.15513036648432413,0.16441120704015097,,
CAD_137.nii.gz,0.09795918315649033,87.56083679199219,69.08869171142578,0.05150214582681656,0.052401747554540634,0.75,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.032653061052163444,29.18694559733073,23.029563903808594,0.017167381942272186,,
