name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
ahn_05.nii.gz,0.29050278663635254,18.044384002685547,0.9450873732566833,0.16993464529514313,0.7647058963775635,0.17931035161018372,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.09683426221211751,6.014794667561849,0.31502912441889447,0.05664488176504771,,
ahn_09.nii.gz,0.5120132565498352,3.3310675621032715,0.05229249224066734,0.3440980017185211,0.9809523820877075,0.3464125692844391,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17067108551661173,1.1103558540344238,0.017430830746889114,0.1146993339061737,,
ahn_11.nii.gz,0.03396347165107727,66.01060485839844,27.043821334838867,0.017275098711252213,0.01743994653224945,0.6463414430618286,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.011321157217025757,22.00353495279948,9.014607111612955,0.005758366237084071,,
ahn_12.nii.gz,0.6145537495613098,2.8284270763397217,0.563258707523346,0.44357818365097046,0.743977963924408,0.5234866738319397,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.20485124985376993,0.9428090254465739,0.18775290250778198,0.1478593945503235,,
ahn_16.nii.gz,0.08671816438436508,71.30354309082031,30.41100311279297,0.04532430320978165,0.04574132338166237,0.8325358629226685,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.02890605479478836,23.767847696940105,10.137001037597656,0.015108101069927216,,
ahn_21.nii.gz,0.42040565609931946,9.132250785827637,2.940572738647461,0.2661478519439697,0.30265486240386963,0.6881287693977356,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.14013521869977316,3.044083595275879,0.9801909128824869,0.08871595064798991,,
ahn_29.nii.gz,0.6370725631713867,2.4494898319244385,0.38209494948387146,0.46742957830429077,0.8835274577140808,0.49812382459640503,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2123575210571289,0.8164966106414795,0.1273649831612905,0.15580985943476358,,
ahn_39.nii.gz,0.25342464447021484,85.03409576416016,28.920166015625,0.14509804546833038,0.1538461595773697,0.7184466123580933,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.08447488149007161,28.344698588053387,9.640055338541666,0.04836601515611013,,
ahn_48.nii.gz,0.5661444664001465,4.242640495300293,0.5111954808235168,0.39484065771102905,0.9334529042243958,0.4062768220901489,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18871482213338217,1.414213498433431,0.17039849360783896,0.13161355257034302,,
ahn_54.nii.gz,0.35825270414352417,9.05538558959961,0.4414794147014618,0.21821428835391998,0.8545454740524292,0.2266320437192917,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.11941756804784139,3.0184618631998696,0.14715980490048727,0.07273809611797333,,
ahn_64.nii.gz,0.5213482975959778,3.1622776985168457,0.8117530345916748,0.3525835871696472,0.6311208009719849,0.4441041350364685,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17378276586532593,1.054092566172282,0.2705843448638916,0.1175278623898824,,
ahn_75.nii.gz,0.6501859426498413,3.7416574954986572,0.9709724187850952,0.4816855788230896,0.8887559771537781,0.5125905275344849,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2167286475499471,1.247219165166219,0.32365747292836505,0.16056185960769653,,
ahn_77.nii.gz,0.1367609202861786,43.855987548828125,15.374908447265625,0.07339955866336823,0.07409470528364182,0.8866666555404663,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.045586973428726196,14.618662516276041,5.124969482421875,0.024466519554456074,,
ahn_79.nii.gz,0.017543859779834747,16.352075576782227,13.361669540405273,0.008849557489156723,0.012658228166401386,0.02857142873108387,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.005847953259944916,5.450691858927409,4.453889846801758,0.0029498524963855743,,
CAD_102.nii.gz,0.38303342461586,25.2586612701416,1.1926344633102417,0.23688393831253052,0.8612716794013977,0.2462809979915619,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.12767780820528665,8.419553756713867,0.3975448211034139,0.0789613127708435,,
CAD_107.nii.gz,0.4212421178817749,10.049875259399414,1.7200735807418823,0.26681870222091675,0.8297872543334961,0.2822677791118622,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.14041403929392496,3.3499584197998047,0.5733578602472941,0.08893956740697224,,
CAD_110.nii.gz,0.49444082379341125,8.062257766723633,1.642508864402771,0.3284100890159607,0.782608687877655,0.36137667298316956,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.16481360793113708,2.6874192555745444,0.5475029548009237,0.1094700296719869,,
CAD_113.nii.gz,0.6970055103302002,5.099019527435303,0.4479748010635376,0.5349259376525879,0.9910364151000977,0.5375266075134277,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.23233517011006674,1.6996731758117676,0.14932493368784586,0.17830864588419595,,
CAD_118.nii.gz,0.47723132371902466,3.7416574954986572,0.7576612830162048,0.3133971393108368,0.9508064389228821,0.3185625374317169,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.15907710790634155,1.247219165166219,0.2525537610054016,0.10446571310361226,,
CAD_119.nii.gz,0.6698606014251709,20.615528106689453,2.8350131511688232,0.5036018490791321,0.7380038499832153,0.6132376194000244,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.22328686714172363,6.871842702229817,0.945004383722941,0.16786728302637735,,
CAD_120.nii.gz,0.4000000059604645,48.10405349731445,27.389812469482422,0.25,0.3539822995662689,0.4597701132297516,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.13333333532015482,16.034684499104817,9.129937489827475,0.08333333333333333,,
CAD_124.nii.gz,0.10682492703199387,11.575837135314941,6.327329158782959,0.05642633140087128,0.08530806005001068,0.1428571492433548,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.03560830901066462,3.858612378438314,2.10910971959432,0.01880877713362376,,
CAD_127.nii.gz,0.5481481552124023,33.36577606201172,11.644187927246094,0.37755101919174194,0.6166666746139526,0.4933333396911621,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18271605173746744,11.121925354003906,3.8813959757486978,0.12585033973058066,,
CAD_128.nii.gz,0.5967258214950562,3.464101552963257,0.6999304294586182,0.4252382516860962,0.8749154806137085,0.4527641832828522,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1989086071650187,1.154700517654419,0.2333101431528727,0.1417460838953654,,
CAD_135.nii.gz,0.6582890152931213,2.2360680103302,0.37342754006385803,0.4906339943408966,0.9645892381668091,0.49963316321372986,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.21942967176437378,0.7453560034434,0.12447584668795268,0.16354466478029886,,
CAD_137.nii.gz,0.10593220591545105,107.90828704833984,71.52775573730469,0.055928412824869156,0.05681818351149559,0.78125,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.03531073530515035,35.96942901611328,23.84258524576823,0.018642804274956386,,
CAD_138.nii.gz,0.7394067645072937,29.207870483398438,4.069810390472412,0.5865546464920044,0.8933447003364563,0.6307228803634644,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.24646892150243124,9.735956827799479,1.356603463490804,0.1955182154973348,,
CAD_139.nii.gz,0.7685950398445129,1.4142135381698608,0.36188337206840515,0.6241610646247864,0.9492102265357971,0.6457265615463257,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.25619834661483765,0.47140451272328693,0.12062779068946838,0.20805368820826212,,
CAD_141.nii.gz,0.6099397540092468,58.09904861450195,14.58852767944336,0.4387865662574768,0.5680224299430847,0.6585366129875183,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.20331325133641562,19.366349538167317,4.862842559814453,0.14626218875249228,,
CAD_142.nii.gz,0.6566836833953857,6.324555397033691,1.4414845705032349,0.4888526499271393,0.6735974550247192,0.6405985355377197,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.21889456113179526,2.108185132344564,0.4804948568344116,0.16295088330904642,,
CAD_145.nii.gz,0.5142667293548584,6.4031243324279785,1.4993295669555664,0.3461366593837738,0.6756756901741028,0.4151044487953186,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17142224311828613,2.1343747774759927,0.49977652231852215,0.11537888646125793,,
CAD_146.nii.gz,0.5853658318519592,52.503807067871094,8.65040397644043,0.4137931168079376,0.5095056891441345,0.6877673268318176,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.19512194395065308,17.5012690226237,2.88346799214681,0.13793103893597922,,
CAD_149.nii.gz,0.6323713660240173,4.4721360206604,0.5395023822784424,0.4623853266239166,0.8094218373298645,0.5188744068145752,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2107904553413391,1.4907120068868,0.17983412742614746,0.1541284422079722,,
CAD_150.nii.gz,0.7215208411216736,6.557438373565674,1.0615267753601074,0.5643587112426758,0.8214406371116638,0.6432732939720154,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.24050694704055786,2.185812791188558,0.35384225845336914,0.18811957041422525,,
CAD_151.nii.gz,0.7483314275741577,2.0,0.5531590580940247,0.5978671312332153,0.9652979969978333,0.610999345779419,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2494438091913859,0.6666666666666666,0.1843863526980082,0.19928904374440512,,
CAD_152.nii.gz,0.5506912469863892,2.2360680103302,0.27934253215789795,0.37996819615364075,0.9372549057006836,0.389885812997818,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18356374899546304,0.7453560034434,0.09311417738596599,0.1266560653845469,,
CAD_153.nii.gz,0.585468590259552,11.87434196472168,3.5837764739990234,0.41389578580856323,0.5100917220115662,0.686985194683075,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.195156196753184,3.95811398824056,1.1945921579996746,0.13796526193618774,,
CAD_155.nii.gz,0.379518061876297,22.934690475463867,6.292092323303223,0.23420074582099915,0.3214285671710968,0.4632352888584137,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.12650602062543234,7.644896825154622,2.0973641077677407,0.07806691527366638,,
CAD_159.nii.gz,0.2284345030784607,8.714920043945312,3.6961002349853516,0.128944993019104,0.24196277558803558,0.2163388878107071,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0761448343594869,2.904973347981771,1.232033411661784,0.04298166433970133,,
CAD_160.nii.gz,0.7118927836418152,10.099504470825195,1.8768733739852905,0.5526657700538635,0.7834101319313049,0.6523407697677612,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.23729759454727173,3.366501490275065,0.6256244579950968,0.18422192335128784,,
CAD_162.nii.gz,0.7038216590881348,13.548990249633789,1.5548889636993408,0.5429975390434265,0.9020408391952515,0.5770235061645508,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.23460721969604492,4.516330083211263,0.5182963212331136,0.18099917968114218,,
CAD_167.nii.gz,0.10275423526763916,25.66514778137207,8.467482566833496,0.05415968596935272,0.05483324080705643,0.8151260614395142,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.03425141175587972,8.555049260457357,2.8224941889444985,0.01805322865645091,,
CAD_170.nii.gz,0.7514490485191345,5.094063758850098,1.6053493022918701,0.6018568873405457,0.6674742698669434,0.8595944046974182,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.25048301617304486,1.6980212529500325,0.53511643409729,0.20061896244684854,,
CAD_171.nii.gz,0.7560035586357117,3.605551242828369,0.6486806869506836,0.6077216267585754,0.9615384340286255,0.622862696647644,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.25200118621190387,1.201850414276123,0.21622689565022787,0.2025738755861918,,
CAD_174.nii.gz,0.18859060108661652,63.04839324951172,28.524202346801758,0.10411263257265091,0.11208616197109222,0.5940803289413452,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.06286353369553883,21.016131083170574,9.50806744893392,0.0347042108575503,,
