name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
ahn_05.nii.gz,0.520716667,8,2.278041363,0.352006048,0.507641912,0.534482777,0,0,0,0,,,0,0,0,0,,,0.173572222,2.666666667,0.759347121,0.117335349,,
ahn_09.nii.gz,0.496655524,4.582575798,0.058250673,0.330367088,0.976973712,0.332959652,0,0,0,0,,,0,0,0,0,,,0.165551841,1.527525266,0.019416891,0.110122363,,
ahn_11.nii.gz,0.217391297,72.9980011,22.36477661,0.121951222,0.139860138,0.48780489,0,0,0,0,,,0,0,0,0,,,0.072463766,24.33266703,7.454925537,0.040650407,,
ahn_12.nii.gz,0.647641242,2.23606801,0.465640604,0.478897512,0.812271714,0.538498819,0,0,0,0,,,0,0,0,0,,,0.215880414,0.745356003,0.155213535,0.159632504,,
ahn_16.nii.gz,0.382402718,53.05067062,17.11182785,0.236401677,0.295811504,0.540669858,0,0,0,0,,,0,0,0,0,,,0.127467573,17.68355687,5.703942617,0.078800559,,
ahn_21.nii.gz,0.678260863,4.200802326,1.207946301,0.513157904,0.886363626,0.549295783,0,0,0,0,,,0,0,0,0,,,0.226086954,1.400267442,0.402648767,0.171052635,,
ahn_29.nii.gz,0.507138014,2.449489832,0.347299248,0.339708567,0.920987666,0.349906206,0,0,0,0,,,0,0,0,0,,,0.169046005,0.816496611,0.115766416,0.113236189,,
ahn_39.nii.gz,0.484848499,76.61499786,20.63946342,0.319999993,0.560509562,0.427184463,0,0,0,0,,,0,0,0,0,,,0.161616166,25.53833262,6.879821142,0.106666664,,
ahn_48.nii.gz,0.571256757,3.162277699,0.481830806,0.399831653,0.952771723,0.407916307,0,0,0,0,,,0,0,0,0,,,0.190418919,1.054092566,0.160610269,0.133277218,,
ahn_54.nii.gz,0.607126951,3.31662488,0.689377367,0.435881048,0.759754717,0.505563796,0,0,0,0,,,0,0,0,0,,,0.20237565,1.105541627,0.229792456,0.145293683,,
ahn_64.nii.gz,0.570686042,2.449489832,0.250357747,0.39927274,0.888349533,0.420367539,0,0,0,0,,,0,0,0,0,,,0.190228681,0.816496611,0.083452582,0.133090913,,
ahn_75.nii.gz,0.566119671,3,0.683360457,0.394816548,0.942168653,0.404622287,0,0,0,0,,,0,0,0,0,,,0.188706557,1,0.227786819,0.131605516,,
ahn_77.nii.gz,0.252406418,45.3585701,19.04600334,0.144430846,0.150318474,0.786666691,0,0,0,0,,,0,0,0,0,,,0.084135473,15.11952337,6.348667781,0.048143615,,
ahn_79.nii.gz,0.130909085,17.50285149,10.03637218,0.070038907,0.075000003,0.514285743,0,0,0,0,,,0,0,0,0,,,0.043636362,5.834283829,3.345457395,0.023346302,,
CAD_102.nii.gz,0.446300715,8.58151722,1.485023975,0.28725037,0.802575111,0.309090912,0,0,0,0,,,0,0,0,0,,,0.148766905,2.86050574,0.495007992,0.095750123,,
CAD_107.nii.gz,0.498954713,22.22611046,4.675889492,0.332404822,0.590759099,0.431845605,0,0,0,0,,,0,0,0,0,,,0.166318238,7.408703486,1.558629831,0.110801607,,
CAD_110.nii.gz,0.305445939,8.215782166,1.548244596,0.180251509,0.875565588,0.184990436,0,0,0,0,,,0,0,0,0,,,0.101815313,2.738594055,0.516081532,0.060083836,,
CAD_113.nii.gz,0.459415197,8.774964333,0.8527174,0.298208326,0.997967482,0.298389554,0,0,0,0,,,0,0,0,0,,,0.153138399,2.924988111,0.284239133,0.099402775,,
